Ország,Kattintások,Megjelenések,CTR,Elhelyezkedés
Egyesült Államok,3,1276,0.24%,49.6
Magyarország,3,11,27.27%,9.45
India,2,42,4.76%,28.74
Pakisztán,1,6,16.67%,23.67
Hollandia,1,2,50%,22
Egyesült Királyság,0,452,0%,57.31
Ausztrália,0,83,0%,60.04
Kanada,0,61,0%,34.49
Új-Zéland,0,47,0%,70.38
Fülöp-szigetek,0,33,0%,21.3
Malajzia,0,20,0%,34.15
Brazília,0,18,0%,16.78
Egyesült Arab Emírségek,0,18,0%,52.06
Kenya,0,17,0%,16.59
Szingapúr,0,16,0%,39.56
Németország,0,14,0%,23.43
Nigéria,0,13,0%,29.62
Dél-Afrika,0,10,0%,26.4
Vietnam,0,10,0%,33.7
Hongkong,0,10,0%,75.5
Japán,0,9,0%,22.67
Törökország,0,9,0%,25.78
Banglades,0,9,0%,42.44
Indonézia,0,8,0%,20.25
Ecuador,0,7,0%,21.29
Írország,0,7,0%,58.57
Spanyolország,0,6,0%,19
Mexikó,0,6,0%,26.83
Namíbia,0,6,0%,39.17
Bulgária,0,5,0%,7
Franciaország,0,5,0%,10.2
Srí Lanka,0,5,0%,16.4
Lengyelország,0,5,0%,26.6
Etiópia,0,4,0%,18.5
Kuvait,0,4,0%,18.5
Olaszország,0,4,0%,36.25
Jamaika,0,4,0%,38.5
Szaúd-Arábia,0,4,0%,40.75
Dél-Korea,0,4,0%,49.25
Kína,0,3,0%,5
Trinidad és Tobago,0,3,0%,8
Uganda,0,3,0%,25
Venezuela,0,3,0%,27.67
Libanon,0,3,0%,30.33
Tanzánia,0,3,0%,31
Katar,0,3,0%,38
Dél-Szudán,0,2,0%,3.5
Kazahsztán,0,2,0%,5.5
Barbados,0,2,0%,6
Ukrajna,0,2,0%,10
Görögország,0,2,0%,11
Guam,0,2,0%,11.5
Dominikai Köztársaság,0,2,0%,20.5
Argentína,0,2,0%,28
Puerto Rico,0,2,0%,29
Palesztina,0,2,0%,30
Algéria,0,2,0%,31
Finnország,0,2,0%,33
Kolumbia,0,2,0%,39.5
Maldív-szigetek,0,2,0%,42.5
Málta,0,2,0%,49
Marokkó,0,2,0%,49.5
Brunei,0,2,0%,61
Egyiptom,0,2,0%,61
Thaiföld,0,2,0%,69
Gambia,0,1,0%,1
Ausztria,0,1,0%,2
Románia,0,1,0%,3
Tunézia,0,1,0%,4
Norvégia,0,1,0%,5
Ghána,0,1,0%,7
Macedónia,0,1,0%,7
Kelet-Timor,0,1,0%,7
Belgium,0,1,0%,8
Mauritius,0,1,0%,9
Nicaragua,0,1,0%,9
Jemen,0,1,0%,9
Zimbabwe,0,1,0%,9
Bahrein,0,1,0%,10
Grenada,0,1,0%,10
Guyana,0,1,0%,10
Irán,0,1,0%,10
Izrael,0,1,0%,10
Luxemburg,0,1,0%,10
Mongólia,0,1,0%,10
Portugália,0,1,0%,11
Szíria,0,1,0%,11
Horvátország,0,1,0%,12
Myanmar (Burma),0,1,0%,12
Pápua Új-Guinea,0,1,0%,12
Botswana,0,1,0%,22
Nepál,0,1,0%,30
Mozambik,0,1,0%,32
Tajvan,0,1,0%,37
Salvador,0,1,0%,41
Angola,0,1,0%,43
Fidzsi,0,1,0%,45
Tádzsikisztán,0,1,0%,48
Svédország,0,1,0%,68
Irak,0,1,0%,76
Albánia,0,1,0%,78
Panama,0,1,0%,78
Chile,0,1,0%,79
Dánia,0,1,0%,85
Kambodzsa,0,1,0%,97